분야,내용
의학,아토피 피부염은 유전과 환경적 요인으로 발생하는 만성 질환이다.
경제학,시장 실패는 자유 시장에서 자원이 효율적으로 배분되지 못하는 현상이다.
사회학,탈소외는 공동체 내에서 소외된 개인이 관계를 회복해가는 과정이다.
동물,"고릴라는 초식성 영장류로, 주로 과일과 잎을 먹는다."
기후,북대서양 진동은 유럽과 북미의 기후에 큰 영향을 미치는 해양 대기 현상이다.
음악,프렐류드는 즉흥적인 성격의 짧은 서곡 형식의 음악이다.
역사,신라의 화랑도는 청소년들의 교육과 국방을 겸한 조직이었다.
건축,스틸 프레임 구조는 철강을 사용하여 건축물의 하중을 견디도록 설계된다.
음료,우롱차는 녹차와 홍차의 중간 발효 단계에 있는 중국 전통 차이다.
지리,"인도네시아는 17,000개 이상의 섬으로 이루어진 세계 최대 도서 국가이다."
언어학,"음절은 한 번에 발음되는 소리의 단위로, 모음 중심으로 구성된다."
기술,암호화폐는 블록체인 기술을 기반으로 한 디지털 자산이다.
음식,갈비찜은 양념한 갈비를 무르도록 익힌 한국 전통 요리다.
사회,노인 빈곤 문제는 고령화와 퇴직 후 소득 감소로 인해 심화된다.
우주,"태양풍은 태양에서 방출되는 고에너지 입자 흐름으로, 지구 자기장에 영향을 준다."
철학,존 스튜어트 밀은 자유론에서 개인의 자유와 타인의 해악을 기준으로 자유를 정의했다.
기상,가뭄은 일정 기간 강수량이 부족해 토양이 마르고 수자원이 고갈되는 현상이다.
동물,도마뱀은 위협을 느끼면 꼬리를 스스로 절단하는 자절 능력을 지닌다.
음악,스캣은 가사 대신 의미 없는 음절로 노래하는 재즈 보컬 기법이다.
의학,"위염은 위 점막에 염증이 생기는 소화기계 질환으로, 급성과 만성으로 나뉜다."
경제,무역수지는 한 나라의 수출과 수입의 차이를 나타내는 지표이다.
건축,지열 냉난방 시스템은 땅속의 일정한 온도를 활용해 에너지를 절약한다.
우주,태양은 약 50억 년 후 백색왜성을 거쳐 소멸될 예정이다.
기상,"태풍의 눈은 고요하고 맑은 구역으로, 폭풍의 중심에 위치한다."
음식,김치전은 김치를 반죽에 넣어 부친 한국식 전이다.
사회,다문화 가정은 다양한 국적이나 문화를 지닌 가족 구성원으로 이루어진다.
음악,마림바는 나무 건반을 말렛으로 두드려 연주하는 타악기이다.
기술,메타버스는 현실 세계를 디지털로 확장한 가상 공간이다.
역사,"삼국시대는 고구려, 백제, 신라가 한반도에서 경쟁하던 시기이다."
동물,"너구리는 야행성이며, 도시에도 적응력이 뛰어난 포유류이다."
경제,경상수지는 상품·서비스·소득·이전소득 거래의 국제 수지를 말한다.
스포츠,패러글라이딩은 낙하산을 펼쳐 산이나 절벽에서 날아오르는 항공 스포츠이다.
의학,빈혈은 혈액 내 적혈구나 헤모글로빈이 부족한 상태를 말한다.
건축,에코하우스는 에너지 효율과 친환경 재료를 중시한 주택 설계 방식이다.
언어,관형사는 체언 앞에서 수식하며 명사처럼 쓰이지 않는다.
문화,크리스마스 트리는 원래 독일에서 시작된 풍습이다.
기후,해양성 기후는 바다의 영향을 많이 받아 온도 변화가 완만하다.
음료,"스무디는 얼음과 과일, 우유 등을 함께 갈아 만든 음료이다."
지리,"말레이 반도는 태국, 말레이시아, 싱가포르가 포함된 지형이다."
철학,"공자와 맹자는 유교 사상의 핵심 인물로, 인과 예를 중시했다."
기술,반도체는 스위치처럼 작동하며 현대 전자기기의 핵심 부품이다.
음악,글리산도는 음을 연속적으로 미끄러지듯 연결하는 기법이다.
사회학,"가족 구조는 핵가족, 대가족, 한부모 가정 등 다양한 형태로 나타난다."
음식,로제 파스타는 토마토와 크림 소스를 섞어 만든 파스타이다.
기상,습구 온도는 기온과 습도를 함께 고려한 체감 지표이다.
우주,국제천문연맹은 행성의 정의를 재조정하여 명왕성을 왜행성으로 분류했다.
경제학,절약의 역설은 개인의 저축 증가가 경제 전체의 소비 감소로 이어질 수 있다는 개념이다.
동물,양은 사회성이 강해 떼를 지어 행동하는 경향이 있다.
의학,"이비인후과는 귀, 코, 목의 질환을 진단하고 치료하는 분야다."
음악,"오페라는 연기, 음악, 무대미술이 결합된 종합 예술이다."
기술,웹브라우저는 인터넷 상의 문서나 콘텐츠를 열람하는 소프트웨어이다.
역사,조선은 유교 중심의 통치 이념을 바탕으로 약 500년간 지속된 왕조이다.
언어학,고유어는 외래어나 한자어가 아닌 순수한 우리말을 말한다.
스포츠,스켈레톤은 머리를 앞으로 향한 자세로 썰매를 타고 활주하는 겨울 스포츠다.
경제,환율 조작국은 통화 가치를 인위적으로 낮춰 수출을 유도하는 국가로 분류된다.
사회,청년 기본소득은 일정 연령대 청년에게 조건 없이 일정 금액을 지급하는 정책이다.
기후,빙하기는 지구 평균 기온이 현저히 낮아져 대륙에 빙하가 확장된 시기다.
음료,청포도 주스는 신선한 포도를 갈아 만든 상큼한 음료다.
음식,"스파게티 카르보나라에는 달걀, 치즈, 베이컨이 주재료로 사용된다."
건축,"지붕창은 지붕 위에 설치된 창문으로, 채광과 환기를 돕는다."
문화,"기모노는 일본 전통 복식으로, 계절과 행사에 따라 다양하게 입는다."
기상,지진은 지각 내부 에너지가 갑작스럽게 방출되어 발생하는 자연재해다.
음악,포크송은 사회적 메시지를 담은 서정적인 대중 음악 장르이다.
기술,스마트워치는 손목에 착용하여 건강 추적과 알림 기능을 제공한다.
음식,쌈밥은 채소에 밥과 반찬을 싸서 먹는 한국의 전통 식사 방식이다.
기상,서리가 내리면 농작물에 손상이 가므로 예보가 중요하다.
우주,블랙홀은 빛도 빠져나오지 못할 정도로 강한 중력을 가진 천체이다.
사회,공정 여행은 지역 주민과 환경을 고려하는 윤리적 관광 형태이다.
경제,명목 GDP는 인플레이션을 반영하지 않은 상태의 국내총생산 지표이다.
음료,요거트 스무디는 요구르트와 과일을 함께 갈아 만든 음료이다.
건축,현관은 외부와 내부를 연결하는 주택의 진입 공간이다.
스포츠,럭비는 타원형 공을 손과 발로 다루며 점수를 내는 경기이다.
의학,류머티즘 관절염은 관절에 염증이 생겨 통증과 변형을 유발하는 자가면역 질환이다.
역사,산업혁명은 18세기 영국에서 시작된 기계화의 시대이다.
언어,문법은 언어의 구조와 규칙을 다루는 학문 분야이다.
문화,페스티벌은 특정 주제를 기념하기 위해 열리는 대규모 축제이다.
기후,대기오염은 건강 문제뿐 아니라 기후 변화의 주요 원인 중 하나이다.
동물,오리는 발에 물갈퀴가 있어 수영에 적합한 구조를 지닌다.
기술,증강현실은 현실 공간에 디지털 정보를 덧씌워 보여주는 기술이다.
음악,랩은 박자에 맞춰 리듬감 있게 말하는 힙합 장르의 핵심 요소이다.
우주,소행성은 태양을 도는 작은 암석형 천체이다.
경제학,최적화 이론은 제한된 자원으로 최대의 효과를 얻는 방법을 연구한다.
사회학,도시화는 인구가 농촌에서 도시로 이동하면서 발생하는 현상이다.
음식,"치킨 커리에는 향신료, 토마토, 요구르트 등이 들어간다."
기상,비는 대기 중 수증기가 냉각되어 응결하면서 지면으로 떨어지는 현상이다.
건축,지하실은 건물 아래에 위치해 저장 공간이나 피난처로 사용된다.
의학,건강검진은 질병을 조기에 발견하고 예방하기 위한 기본적인 검사이다.
스포츠,사이클링은 심폐 지구력을 기르는 데 효과적인 유산소 운동이다.
언어학,"의성어는 소리를 흉내 낸 단어이고, 의태어는 모양이나 행동을 묘사한 단어이다."
문화,비엔날레는 2년에 한 번 열리는 국제 예술 전시회이다.
기술,클라우드 저장소는 인터넷을 통해 파일을 저장하고 접근할 수 있게 해준다.
음악,브릿팝은 1990년대 영국에서 유행한 록 음악 장르이다.
동물,코끼리는 귀로 체온을 조절하고 가족 단위로 무리를 지어 생활한다.
기후,폭설은 짧은 시간 동안 많은 눈이 내리는 기상 현상이다.
우주,은하는 은하 중심을 중심으로 회전하는 별들의 집합체이다.
사회,젠더 뉴트럴은 성별 구분 없는 중립적인 사고와 문화 트렌드를 의미한다.
경제,소득 재분배는 세금이나 복지 제도를 통해 빈부 격차를 완화하는 과정이다.
음료,"말차는 곱게 간 녹차 가루로, 일본 전통 다도에서 사용된다."
역사,이순신 장군은 임진왜란 당시 한산도 대첩 등에서 활약한 조선의 명장이다.
기상,이슬은 밤사이 기온이 이슬점 이하로 떨어지며 표면에 맺히는 물방울이다.
음식,"닭개장은 닭고기와 고춧가루, 숙주 등을 넣고 끓인 매운 국물 요리이다."
음식,나시고렝은 인도네시아의 대표적인 볶음밥 요리이다.
기술,파이썬은 간결한 문법과 다양한 라이브러리로 인기 있는 프로그래밍 언어다.
음악,가스펠은 기독교 신앙을 바탕으로 한 아프리카계 미국인의 성가 음악이다.
우주,달의 한 면은 항상 지구를 향하고 있어 뒷면은 지구에서 볼 수 없다.
사회,리터러시는 정보 해석과 활용 능력을 의미하는 현대 사회의 핵심 역량이다.
경제,구매력 평가는 각국 통화의 실제 구매력을 비교하는 지표이다.
언어,외래어는 다른 나라에서 유입되어 현지화된 단어이다.
의학,백내장은 수정체가 혼탁해져 시야가 흐려지는 질환이다.
스포츠,승마에서 말과 기수의 조화는 기술과 신뢰의 결과물이다.
기후,지구온난화는 온실가스 증가로 인한 기온 상승 현상이다.
건축,캔틸레버 구조는 한쪽 끝만 고정되어 바깥으로 돌출된 형태이다.
문화,오페라는 이탈리아에서 시작된 극장 예술로 음악과 극이 결합된 형태다.
기상,해일은 해저 지진이나 화산 활동으로 인해 발생하는 대형 파도이다.
동물,강아지는 후각이 사람보다 약 1만 배 이상 뛰어나다.
역사,노르망디 상륙작전은 제2차 세계대전의 전환점이 된 연합군 작전이다.
음료,콜드브루는 차가운 물로 장시간 우려내는 방식의 커피다.
기술,바이오센서는 생물학적 요소를 활용해 특정 물질을 감지하는 센서다.
음악,"칸타타는 독창, 합창, 관현악이 포함된 중세 유럽 종교 음악이다."
사회학,역할 갈등은 개인이 여러 사회적 역할을 동시에 수행하면서 발생한다.
경제학,기회비용은 특정 선택으로 인해 포기한 대안 중 가장 큰 가치를 의미한다.
음식,우동은 일본식 면요리로 굵은 밀가루 면과 국물이 특징이다.
우주,"달 탐사는 미국, 중국, 러시아를 중심으로 활발히 진행되고 있다."
기상,열대야는 밤 사이 기온이 25도 이상으로 떨어지지 않는 현상이다.
기술,디지털 전환은 기존 아날로그 방식의 업무를 디지털화하는 경향이다.
언어학,비유는 직접적인 표현 대신 유사성을 활용한 간접적인 서술 기법이다.
건축,무장애 설계는 장애인과 노약자 모두가 쉽게 이용할 수 있도록 고려된 구조이다.
음악,리듬은 음악에서 시간의 흐름을 규정짓는 요소다.
스포츠,테니스는 라켓으로 공을 쳐 상대방 코트에 넘기는 경기이다.
의학,근시란 멀리 있는 사물이 흐릿하게 보이는 시력 장애이다.
사회,주거복지란 모든 국민이 적절한 주거 수준을 누릴 수 있도록 하는 정책이다.
음식,치즈케이크는 치즈와 크림을 베이스로 한 부드러운 디저트다.
우주,적색왜성은 질량이 작고 수명이 긴 별이다.
경제,탄력세율은 경기 상황에 따라 조정 가능한 세율 구조를 말한다.
기상,안개는 수증기가 응결되어 지표면 가까이에 떠 있는 작은 물방울이다.
기후,사막화는 토양 황폐화와 식생 파괴로 이어지는 환경 문제다.
건축,방풍림은 바람을 차단하기 위해 지은 자연 또는 인공 구조물이다.
음료,레몬워터는 비타민 C가 풍부하고 해독 효과가 있다고 여겨진다.
역사,청동기는 인류가 금속을 사용해 도구와 무기를 만들기 시작한 시대이다.
기술,AI는 사람처럼 학습하고 추론하는 인공지능 기술을 의미한다.
언어,중의성은 문장이 여러 가지 의미로 해석될 수 있는 특성을 말한다.
음식,초밥은 생선이나 해산물을 식초로 간한 밥에 얹어 먹는 일본 요리이다.
기술,GPS는 위성을 통해 지구상의 위치를 정확히 파악하는 시스템이다.
음악,재즈는 아프리카계 미국인 음악에서 발전한 즉흥성과 리듬 중심의 장르다.
우주,"화성은 '붉은 행성'으로 불리며, 철산화물이 표면을 덮고 있다."
사회,비정규직은 고용 기간과 조건이 일정하지 않은 고용 형태를 말한다.
경제,국가 채무는 정부가 갚아야 할 모든 부채의 총액이다.
언어,속담은 교훈이나 풍자를 담은 관용적인 짧은 문장이다.
의학,고혈압은 혈관 내 압력이 정상 범위를 초과하는 상태이다.
스포츠,펜싱은 찌르기 또는 베기를 통해 점수를 얻는 검술 경기이다.
기후,열대우림 기후는 연중 높은 온도와 강수량을 유지한다.
건축,기와집은 한국 전통 건축에서 기와로 지붕을 덮은 구조를 말한다.
문화,할로윈은 유럽의 고대 축제에서 유래된 현대의 유령 축제이다.
기상,한파는 기온이 급격히 떨어지며 매우 추운 날씨가 지속되는 현상이다.
동물,치타는 포유류 중 가장 빠르게 달릴 수 있는 동물이다.
역사,프랑스 혁명은 1789년 민중이 절대왕정을 무너뜨린 사건이다.
음료,홍차는 찻잎을 완전히 발효시켜 짙은 색과 향을 지닌 차이다.
기술,QR코드는 빠른 정보 인식이 가능한 2차원 바코드이다.
음악,EDM은 전자기기를 기반으로 제작된 댄스 음악이다.
사회학,"사회적 자본은 신뢰, 네트워크, 협력과 같은 무형 자원을 말한다."
경제학,시장균형은 수요와 공급이 일치하는 지점에서 결정된다.
음식,부침개는 다양한 재료를 밀가루 반죽에 넣어 지져낸 음식이다.
우주,명왕성은 2006년부터 태양계 행성에서 제외되었다.
기상,서풍대는 편서풍이 강하게 부는 지역을 의미한다.
기술,클라우드 컴퓨팅은 인터넷을 통해 자원을 제공하는 방식이다.
언어학,의문문은 질문의 형태로 정보를 요청하는 문장이다.
건축,지붕의 경사도는 눈과 비의 배수를 돕기 위해 설계된다.
음악,바로크 음악은 장식적이고 구조적인 특징을 지닌 유럽 고전 음악이다.
스포츠,양궁은 활로 화살을 쏘아 과녁을 맞히는 정밀 스포츠이다.
의학,당뇨병은 인슐린의 부족 또는 기능 이상으로 혈당 조절이 되지 않는 질환이다.
사회,에너지 빈곤은 기본적인 냉난방이나 전력 사용이 어려운 상태를 의미한다.
음식,"라멘은 일본식 국물 면요리로, 간장, 된장, 소금 등의 다양한 베이스가 있다."
우주,은하는 수천억 개의 별로 이루어진 우주의 기본 단위이다.
경제,통화정책은 중앙은행이 금리와 통화량을 조절하는 경제 안정화 수단이다.
기상,우박은 대기 중에서 얼어내린 둥근 얼음 덩어리다.
기후,온대기후는 사계절이 뚜렷하고 강수량이 비교적 고르게 분포한다.
건축,"콘크리트는 시멘트, 모래, 자갈, 물을 혼합해 만드는 인공 건축 재료이다."
음료,에스프레소는 고압으로 짧은 시간 추출한 진한 커피이다.
역사,"고대 이집트는 나일강 주변에 번성한 문명으로, 피라미드로 유명하다."
기술,사물인터넷(IoT)은 다양한 기기를 인터넷으로 연결하는 기술이다.
언어,동음이의어는 소리는 같지만 의미가 다른 단어를 말한다.
자연,세계에서 가장 깊은 해양 지점은 마리아나 해구의 챌린저 딥이다.
동물,벌새는 뒤로 날 수 있는 유일한 새이다.
우주,명왕성은 2006년에 공식적으로 행성 지위를 박탈당했다.
기후,대기 중 이산화탄소 농도는 산업혁명 이후 급격히 증가했다.
지리,러시아는 11개의 시간대를 사용하는 유일한 나라이다.
화학,물 분자는 산소 원자 1개와 수소 원자 2개로 구성되어 있다.
심리,사람은 평균적으로 새로운 습관을 형성하는 데 약 66일이 걸린다.
경제,"주식시장의 '불마켓'은 상승장을 의미하며, 황소의 돌진에서 유래했다."
언어,에스토니아어는 핀란드어와 매우 유사한 언어이다.
음식,"페루는 전 세계 감자의 원산지로, 4,000종 이상의 감자가 자란다."
문화,영국에서는 엘리자베스 2세 여왕이 가장 오래 재위한 군주이다.
기술,GPS 위성은 상대성 이론을 적용해 정확한 시간을 보정한다.
물리,뉴턴은 만유인력 법칙을 통해 천체의 운동을 설명했다.
의학,인간의 간은 손상되더라도 스스로 재생할 수 있다.
전통,일본의 다도는 정신수양과 예절을 중요시하는 문화다.
음악,피아노는 현악기이자 타악기로 분류되기도 한다.
스포츠,올림픽 오륜기는 세계 5대륙을 상징한다.
지형,대지진은 판 구조 운동으로 인해 발생한다.
문학,마크 트웨인은 ‘톰 소여의 모험’을 통해 미국 문학의 새로운 흐름을 열었다.
건축,타지마할은 인도 무굴제국 황제가 왕비를 위해 지은 무덤이다.
자연,일부 해파리는 죽지 않고 세포를 리셋하는 능력을 지녔다.
생물학,DNA는 이중나선 구조로 1953년에 밝혀졌다.
경제,인플레이션은 화폐 가치 하락으로 물가가 상승하는 현상이다.
철학,니체는 신은 죽었다고 선언하며 기존의 가치관을 비판했다.
기후,적도 지방은 연중 강수량이 많고 계절 차이가 적다.
지리,호주는 하나의 대륙이자 국가이다.
사회,노르웨이는 세계에서 최초로 의무 군복무에 남녀 모두를 포함시켰다.
교통,베를린은 9개 이상의 도시철도 노선을 갖춘 대중교통 도시이다.
의류,양모는 보온성과 흡습성이 뛰어나 겨울 의류에 널리 쓰인다.
동물,낙타의 혹은 물이 아니라 지방을 저장하는 곳이다.
화학,"원자는 양성자, 중성자, 전자로 구성된다."
기술,스마트폰은 평균적으로 하루 96번 이상 확인된다.
문화,브라질의 카니발은 세계 최대 규모의 거리 축제로 알려져 있다.
영화,'시민 케인'은 영화사에서 가장 영향력 있는 작품 중 하나로 평가받는다.
천문학,토성의 고리는 대부분 얼음으로 이루어져 있다.
환경,산성비는 대기 중 황산화물과 질소산화물이 물과 결합해 발생한다.
사회학,젠트리피케이션은 낙후 지역이 고급화되며 원주민이 밀려나는 현상이다.
건축,그리스의 원형극장은 소리를 멀리까지 전달하는 구조로 설계되었다.
역사,로마는 카르타고와 세 차례 푸니 전쟁을 벌였다.
수학,"황금비는 약 1.618로, 미술과 건축에서 아름다움의 기준으로 여겨진다."
언어학,에스키모어에는 눈을 표현하는 단어가 수십 가지가 있다.
경제학,케인스는 정부의 적극적인 시장 개입을 주장했다.
생태,늪은 생물 다양성이 매우 높은 생태계이다.
전기,전류는 전자의 이동으로 발생한다.
기상,허리케인은 대서양에서 발생하는 열대성 저기압의 일종이다.
기술,드론은 처음 군사용으로 개발되었으나 현재는 다양한 민간 분야로 확장되었다.
철도,미국의 대륙횡단철도는 1869년에 완공되었다.
식물,선인장은 건조한 지역에 적응하기 위해 잎 대신 가시를 갖게 되었다.
법,대한민국 헌법은 1948년 제정되어 현재까지 9차 개정을 거쳤다.
음식,타코야키는 일본 오사카에서 유래된 문어가 들어간 동그란 튀김 요리이다.
기술,딥러닝은 인공신경망을 기반으로 데이터에서 패턴을 학습하는 기술이다.
음악,하모니카는 입으로 불고 빨아 다양한 음정을 내는 휴대용 악기이다.
우주,은하 중심에는 블랙홀이 존재하는 경우가 많다.
사회,직장 내 괴롭힘은 권력 관계에서 발생하는 심리적 또는 신체적 학대이다.
경제,주식은 기업의 소유권 일부를 나타내는 증권이다.
언어,은유는 A를 B에 빗대어 표현하는 간접적인 수사 기법이다.
의학,골다공증은 뼈의 밀도가 낮아져 쉽게 골절되는 질환이다.
스포츠,컬링은 얼음 위에서 스톤을 미끄러뜨려 표적 중심에 가깝게 보내는 경기다.
기후,건기와 우기가 뚜렷한 열대 몬순 기후는 계절풍의 영향을 받는다.
건축,패시브 하우스는 외부 에너지 사용을 최소화하는 고단열 주택이다.
문화,"설날은 음력 1월 1일로, 한국의 대표적인 명절이다."
기상,"열대 저기압은 해수면 온도가 높을 때 발생하는 기압계로, 태풍의 전 단계이다."
동물,수컷 공작은 화려한 깃털로 암컷의 관심을 끌려고 한다.
역사,영국 산업혁명은 18세기 중반 방적기와 증기기관의 발명으로 시작되었다.
음료,카모마일 차는 진정 효과로 숙면을 돕는 허브티이다.
기술,음성인식 기술은 사람의 말을 기계가 텍스트로 변환하는 기능이다.
음악,컨트리 음악은 미국 남부에서 유래된 포크와 블루스 기반 음악이다.
사회학,사회화는 개인이 사회 규범과 문화를 학습하는 과정이다.
경제학,"수요의 법칙은 가격이 오르면 수요가 감소하고, 내리면 증가하는 경향을 의미한다."
음식,함박스테이크는 다진 고기를 두껍게 빚어 구운 서양식 요리이다.
우주,대기의 흔적이 없는 달 표면은 운석 충돌로 인한 크레이터로 가득하다.
기상,번개는 대기 중 전하가 불균형해질 때 발생하는 방전 현상이다.
기술,"블루투스는 단거리 무선 통신 기술로, 주로 기기 간 연결에 사용된다."
언어학,"직유는 '같이', '처럼' 등의 단어로 두 대상을 직접 비교하는 수사법이다."
건축,방수층은 지붕이나 옥상에 물이 스며드는 것을 막기 위한 층이다.
음악,악센트는 특정 음을 다른 음보다 강하게 표현하는 연주 기법이다.
스포츠,"모터스포츠는 자동차나 오토바이를 이용한 경기로, F1이 대표적이다."
의학,백신은 인체 면역 체계를 자극해 특정 질병에 대한 항체를 생성하게 한다.
사회,"지역격차는 지역 간 교육, 소득, 기반시설 등에서 발생하는 불균형을 말한다."
음식,쌀떡은 찹쌀 또는 멥쌀을 쪄서 만든 한국의 전통 떡이다.
우주,지구는 평균 약 1670km/h 속도로 자전하고 있다.
경제,인플레이션은 물가 상승으로 화폐 가치가 하락하는 현상이다.
기상,이상기후는 장기간 평균과 다른 급격한 기후 변화를 의미한다.
기후,"온대습윤 기후는 여름에는 덥고 습하며, 겨울에는 비교적 온화하다."
건축,외단열 공법은 건물 외벽에 단열재를 설치하여 열손실을 막는 방식이다.
음료,핫초코는 초콜릿이나 코코아 가루를 따뜻한 우유에 푼 음료이다.
역사,"로마 제국은 서유럽, 북아프리카, 중동 지역까지 지배했던 고대 국가이다."
기술,드론은 원격 조종이나 자율 비행이 가능한 무인 항공기이다.
언어,관용구는 두 단어 이상의 고정된 의미를 가진 표현이다.
음식,크루아상은 얇은 반죽을 겹겹이 말아 구운 프랑스식 페이스트리이다.
기술,알고리즘은 문제 해결을 위한 절차적 방법을 의미한다.
음악,레게 음악은 자메이카에서 시작된 독특한 리듬의 장르이다.
우주,"수성은 태양과 가장 가까운 행성이며, 낮과 밤의 온도차가 극심하다."
사회,기초생활보장제도는 생계가 어려운 국민에게 생계비 등을 지원하는 복지정책이다.
경제,브랜드 가치는 소비자가 제품에 대해 느끼는 신뢰와 이미지로 형성된다.
언어,한자어는 중국에서 유래되어 한글과 함께 사용되는 단어이다.
의학,"고지혈증은 혈액 내 지방 성분이 과다한 상태로, 심혈관 질환 위험을 높인다."
스포츠,골프는 클럽으로 공을 쳐서 최소 타수로 구멍에 넣는 경기이다.
기후,"한랭 건조 기후는 겨울이 길고 매우 춥고, 강수량은 적다."
건축,"전통 초가는 볏짚을 덮은 지붕으로, 단열 효과가 우수하다."
문화,"카니발은 전 세계에서 열리는 축제로, 음악과 퍼레이드가 특징이다."
기상,폭풍은 강풍과 강수를 동반한 대기 불안정 현상이다.
동물,하이에나는 강한 턱 힘과 사회적 구조로 유명한 육식 포유류이다.
역사,한자의 창제는 기원전 중국 상나라 시기 갑골문에서 비롯되었다.
음료,아포가토는 아이스크림 위에 에스프레소를 부어 먹는 이탈리아식 디저트 음료다.
기술,레이더는 전파를 이용해 거리와 물체를 탐지하는 장치이다.
음악,비브라토는 음을 흔들듯 연주해 감정을 더하는 연주법이다.
사회학,"사회 계층은 직업, 교육, 소득 등에 따라 나뉘는 사회적 지위 체계이다."
경제학,수익성은 투입 대비 얻은 이익의 비율로 경영성과를 측정하는 지표다.
음식,감바스는 마늘과 올리브 오일에 새우를 볶은 스페인 요리이다.
우주,"태양계에는 8개의 행성이 있으며, 소행성과 혜성도 존재한다."
기상,이슬점은 수증기가 응결되어 물방울로 변하는 온도이다.
기술,자율주행은 차량이 운전자 없이 주행할 수 있도록 만드는 기술이다.
언어학,기호학은 언어뿐 아니라 모든 상징체계를 연구하는 학문이다.
건축,루버는 햇빛 조절과 통풍을 위해 설치하는 경사형 구조물이다.
음악,소나타는 빠르고 느린 악장을 포함한 악곡 형식의 하나이다.
스포츠,농구는 두 팀이 바스켓에 공을 넣어 점수를 얻는 경기이다.
의학,편두통은 머리 한쪽에서 주기적으로 발생하는 두통이다.
사회,청년 실업은 일자리를 찾지 못한 청년들이 겪는 고용 문제이다.
음식,초계국수는 닭 육수에 식초와 겨자를 넣은 차가운 국수 요리이다.
우주,혜성은 얼음과 먼지로 구성되어 태양에 가까워지면 꼬리가 생긴다.
경제,세금은 정부가 공공서비스를 제공하기 위해 국민에게 걷는 재정 수단이다.
기상,지진은 지각판의 충돌이나 이동으로 발생하는 자연재해다.
기후,극지방은 낮과 밤의 길이가 계절에 따라 극단적으로 다르다.
건축,중정은 전통 건축에서 건물 안에 설치된 마당 공간이다.
음료,"보이차는 발효된 중국 차로, 풍미가 깊고 오래 보관할수록 가치가 올라간다."
역사,냉전은 제2차 세계대전 이후 미국과 소련 사이에 벌어진 이념 대립이다.
기술,증강현실(AR)은 현실에 디지털 정보를 실시간으로 덧붙이는 기술이다.
언어,외래어 표기법은 외국어를 한글로 적는 규칙을 정한 것이다.
교통,오슬로는 2019년부터 도심 내 대부분 차량의 진입을 금지했다.
동물,북극 여우는 발바닥까지 털이 덮여 있어 추운 환경에서도 잘 견딘다.
음식,인도 카레는 지역마다 향신료 조합이 다르다.
언어,프랑스어에서는 숫자 80을 '4x20'이라고 표현한다.
화학,은은 가장 전기가 잘 통하는 금속이다.
심리,사람은 칭찬보다 비판에 더 오래 영향을 받는다.
음악,고전음악의 대부분은 교회나 귀족의 후원으로 작곡되었다.
건축,뉴욕의 엠파이어 스테이트 빌딩은 단 13개월 만에 완공되었다.
우주,우주의 95%는 암흑물질과 암흑에너지로 이루어져 있다.
기후,기후변화는 산호초의 백화현상을 가속화시킨다.
자연,"고래의 심장은 사람보다 수천 배 크며, 박동수는 분당 5회 이하일 수 있다."
기술,리튬이온 배터리는 1991년 처음 상용화되었다.
경제,GDP가 높아도 행복지수가 낮은 나라들이 존재한다.
지리,몽골은 세계에서 인구 밀도가 가장 낮은 국가 중 하나이다.
문화,이슬람 문화권에서는 왼손으로 식사하는 것이 무례하다.
역사,세계 1차대전은 1914년 사라예보 사건을 계기로 시작되었다.
문학,조지 오웰의 ‘1984’는 전체주의 사회를 비판한 디스토피아 소설이다.
의류,버버리 트렌치코트는 원래 군복으로 만들어졌다.
환경,해양 플라스틱은 바다 생태계를 위협하는 주요 요인 중 하나다.
사회,"청년층의 니트족(N.E.E.T)은 교육, 고용, 훈련 어디에도 속하지 않는 집단을 의미한다."
철학,공자는 인간관계에서 예(禮)의 중요성을 강조했다.
의학,장내 미생물은 면역 기능뿐 아니라 정신 건강에도 영향을 줄 수 있다.
동물,고래상어는 상어지만 사람을 공격하지 않는 온순한 종이다.
천문학,혜성은 태양에 가까워질수록 꼬리가 길어진다.
지질학,화산섬은 지각판이 이동하면서 새로운 섬을 형성하기도 한다.
기술,안면인식 기술은 보안뿐 아니라 감정 분석에도 사용되고 있다.
스포츠,마라톤의 출발 지점과 골인은 근대 올림픽에서 처음 규정되었다.
식물,식충식물은 영양분이 부족한 토양에서 벌레를 잡아먹으며 성장한다.
교통,암스테르담은 자전거 이용률이 세계에서 가장 높은 도시 중 하나이다.
음식,초콜릿은 고대 마야와 아즈텍 문명에서 신성한 음식으로 여겨졌다.
사회학,다문화 가정의 증가로 인해 이중언어 교육이 주목받고 있다.
종교,이슬람교는 메카를 향해 하루 다섯 번 기도한다.
우주,지구는 자전과 공전을 동시에 하며 약간 기울어진 축을 가지고 있다.
패션,청바지는 리바이스가 1873년 광산 노동자를 위해 처음 제작했다.
심리학,파블로프의 개 실험은 조건반사의 개념을 증명했다.
전통,한국의 단청은 건축물에 색을 입혀 장식과 보호 기능을 동시에 수행했다.
화학,주기율표는 원소의 전자배치에 따라 배열된 표이다.
동물,거북이는 귀가 없지만 진동을 감지해 소리를 인식할 수 있다.
경제학,수요와 공급의 법칙은 시장의 가격 결정 메커니즘을 설명한다.
의학,심장마비와 심정지는 증상과 응급처치 방식이 다르다.
기상,지구 대기의 가장 아래층은 대류권이며 날씨 변화가 일어나는 층이다.
